Priority,Done,Module,Entity,Type,Full_Name,Source
,,sage.calculus.riemann,analytic_interior,function,sage.calculus.riemann.analytic_interior,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/riemann.pyx#L1467
,,sage.calculus.riemann,cauchy_kernel,function,sage.calculus.riemann.cauchy_kernel,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/riemann.pyx#L1421
,,sage.calculus.riemann,complex_to_rgb,function,sage.calculus.riemann.complex_to_rgb,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/riemann.pyx#L1266
,,sage.calculus.riemann,complex_to_spiderweb,function,sage.calculus.riemann.complex_to_spiderweb,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/riemann.pyx#L1147
,,sage.calculus.riemann,get_derivatives,function,sage.calculus.riemann.get_derivatives,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/riemann.pyx#L1092
,,sage.calculus.riemann,riemann,module,sage.calculus.riemann,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/riemann.pyx#L70
,,sage.calculus.test_sympy,test_sympy,module,sage.calculus.test_sympy,
,,sage.calculus.tests,tests,module,sage.calculus.tests,
,,sage.calculus.transforms.dft,IndexedSequence,class,sage.calculus.transforms.dft.IndexedSequence,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/transforms/dft.py#L90
,,sage.calculus.transforms.dft,dft,module,sage.calculus.transforms.dft,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/transforms/dft.py#L90
,,sage.calculus.transforms.dwt,DWT,function,sage.calculus.transforms.dwt.DWT,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/transforms/dwt.pyx#L24
,,sage.calculus.transforms.dwt,DiscreteWaveletTransform,class,sage.calculus.transforms.dwt.DiscreteWaveletTransform,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/transforms/dwt.pyx#L102
,,sage.calculus.transforms.dwt,WaveletTransform,function,sage.calculus.transforms.dwt.WaveletTransform,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/transforms/dwt.pyx#L24
,,sage.calculus.transforms.dwt,dwt,module,sage.calculus.transforms.dwt,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/transforms/dwt.pyx#L24
,,sage.calculus.transforms.dwt,is2pow,function,sage.calculus.transforms.dwt.is2pow,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/transforms/dwt.pyx#L156
