part,status,full_name,module,entity_name,type,bases,source
02,Implemented,sage.categories.morphism.CallMorphism,sage.categories.morphism,CallMorphism,class,Morphism,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L76
02,Implemented,sage.categories.morphism.FormalCoercionMorphism,sage.categories.morphism,FormalCoercionMorphism,class,Morphism,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L451
02,Implemented,sage.categories.morphism.IdentityMorphism,sage.categories.morphism,IdentityMorphism,class,Morphism,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L471
02,Implemented,sage.categories.morphism.Morphism,sage.categories.morphism,Morphism,class,Map,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L76
02,Implemented,sage.categories.morphism.SetIsomorphism,sage.categories.morphism,SetIsomorphism,class,SetMorphism,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L742
02,Implemented,sage.categories.morphism.SetMorphism,sage.categories.morphism,SetMorphism,class,Morphism,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L569
02,Implemented,sage.categories.morphism.is_Morphism,sage.categories.morphism,is_Morphism,function,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L49
02,Implemented,sage.coding,sage.coding,coding,module,,
02,Implemented,sage.coding.abstract_code,sage.coding.abstract_code,abstract_code,module,,https://github.com/sagemath/sage/blob/develop/src/sage/coding/abstract_code.py#L135
02,Implemented,sage.coding.abstract_code.AbstractCode,sage.coding.abstract_code,AbstractCode,class,Parent,https://github.com/sagemath/sage/blob/develop/src/sage/coding/abstract_code.py#L135
02,Implemented,sage.coding.ag_code,sage.coding.ag_code,ag_code,module,,https://github.com/sagemath/sage/blob/develop/src/sage/coding/ag_code.py#L87
02,Implemented,sage.coding.ag_code.AGCode,sage.coding.ag_code,AGCode,class,AbstractLinearCode,https://github.com/sagemath/sage/blob/develop/src/sage/coding/ag_code.py#L87
